State,White,Black,Hispanic,Asian,American Indian,Native Haiwaiian,Multiple,Income,Minority,Location,Wealth
Alaska,60.00%,2.20%,7.00%,6.00%,15.10%,1.50%,8.30%,78394,American Indian,Other,High
North Dakota,84.10%,2.40%,4.00%,1.40%,5.20%,N/A,2.60%,70031,American Indian,Midwest,High
South Dakota,81.90%,2.20%,3.70%,1.30%,8.40%,N/A,2.40%,64255,American Indian,Midwest,Mid
