State,Income
Alabama,65647
Alaska,96771
Arizona,81195
Arkansas,63320
California,100620
Colorado,99253
Connecticut,97380
Delaware,90172
Florida,77487
Georgia,78182
Hawaii,94201
Idaho,82710
Illinois,86623
Indiana,76734
Iowa,79279
Kansas,79212
Kentucky,69081
Louisiana,64889
Maine,81193
Maryland,98953
Massachusetts,108536
Michigan,75984
Minnesota,94868
Mississippi,58641
Missouri,74132
Montana,80901
Nebraska,79871
Nevada,77839
New Hampshire,101859
New Jersey,106274
New Mexico,66010
New York,92270
North Carolina,74876
North Dakota,82358
Ohio,75119
Oklahoma,65842
Oregon,86934
Pennsylvania,83481
Rhode Island,93542
South Carolina,72086
South Dakota,80824
Tennessee,71706
Texas,77881
Utah,95206
Vermont,88484
Virginia,93923
Washington,102996
West Virginia,64761
Wisconsin,83689
Wyoming,83815
