State,Income
Alabama,73784.00
Alaska,102313.00
Arizona,92454.00
Arkansas,64247.00
California,107236.00
Colorado,106655.00
Connecticut,107844.00
Delaware,98135.00
Florida,82587.00
Georgia,87602.00
Hawaii,108693.00
Idaho,86632.00
Illinois,92666.00
Indiana,82433.00
Iowa,88331.00
Kansas,84943.00
Kentucky,70914.00
Louisiana,64298.00
Maine,82775.00
Maryland,119307.00
Massachusetts,115864.00
Michigan,82652.00
Minnesota,102552.00
Mississippi,60998.00
Missouri,78791.00
Montana,79817.00
Nebraska,88391.00
Nevada,84647.00
New Hampshire,114313.00
New Jersey,117412.00
New Mexico,70567.00
New York,93854.00
North Carolina,81185.00
North Dakota,90744.00
Ohio,81640.00
Oklahoma,71172.00
Oregon,89663.00
Pennsylvania,88589.00
Rhode Island,99092.00
South Carolina,76234.00
South Dakota,84326.00
Tennessee,80307.00
Texas,88321.00
Utah,111825.00
Vermont,91631.00
Virginia,107552.00
Washington,110130.00
West Virginia,66250.00
Wisconsin,86861.00
Wyoming,79563.00
